word,meaning,n,ke,te,inte,nice,ice,ine,ene,cn,she,ixe,esis,ese,summ
zoger,reciter,5,2,0,0,0,0,0,0,0,0,0,0,0,7
bal,philanthropist,0,2,5,0,0,0,0,0,0,0,0,0,0,7
zoger,reciter,5,2,0,0,0,0,0,0,0,0,0,0,0,7
bob,diminutive with root beb,0,5,0,0,0,1,0,0,0,0,0,0,0,6
bur,ignoramus,1,5,0,0,0,0,0,0,0,0,0,0,0,6
doktor,doctor (holder of title),1,0,0,0,0,0,0,0,0,5,0,0,0,6
folklorist,folklorist,1,5,0,0,0,0,0,0,0,0,0,0,0,6
geber,giver,6,0,0,0,0,0,0,0,0,0,0,0,0,6
hendler,adjectival form with -ish,5,1,0,0,0,0,0,0,0,0,0,0,0,6
kemfer,fighter,6,0,0,0,0,0,0,0,0,0,0,0,0,6
kni,knee,0,0,0,0,0,0,0,0,0,6,0,0,0,6
layn,flax (plant: Linum usitatissimum),0,0,0,0,0,0,0,6,0,0,0,0,0,6
farmitler,proxy; agent; go-between,6,0,0,0,0,0,0,0,0,0,0,0,0,6
partner,domestic partner,3,1,0,0,0,0,0,0,0,2,0,0,0,6
korespondent,correspondent,4,2,0,0,0,0,0,0,0,0,0,0,0,6
shpiler,performer,6,0,0,0,0,0,0,0,0,0,0,0,0,6
tsigayner,Gypsy,4,0,0,0,0,0,0,0,0,2,0,0,0,6
yidishist,Yiddishist,0,6,0,0,0,0,0,0,0,0,0,0,0,6
vortzoger,spokeswoman source: Forwards,6,0,0,0,0,0,0,0,0,0,0,0,0,6
tsigayner,Gypsy,4,0,0,0,0,0,0,0,0,2,0,0,0,6
yidishist,Yiddishist,0,6,0,0,0,0,0,0,0,0,0,0,0,6
vortzoger,spokeswoman source: Forwards,6,0,0,0,0,0,0,0,0,0,0,0,0,6
aspirant,doctoral student,1,4,0,0,0,0,0,0,0,0,0,0,0,5
betler,beggar-woman,3,2,0,0,0,0,0,0,0,0,0,0,0,5
biblyoteker,librarian,4,0,0,0,0,0,0,0,0,1,0,0,0,5
dr,Dr.,3,0,0,0,0,0,0,0,0,0,0,0,2,5
foygl,bird both plurals exist,0,0,1,0,0,0,0,0,0,4,0,0,0,5
kas,|kas|t,0,0,5,0,0,0,0,0,0,0,0,0,0,5
kompozitor,composer,5,0,0,0,0,0,0,0,0,0,0,0,0,5
komunist,communist,1,4,0,0,0,0,0,0,0,0,0,0,0,5
kon,dance figure; round of a card game source: Stutchkoff,0,0,5,0,0,0,0,0,0,0,0,0,0,5
o,the letter O,0,5,0,0,0,0,0,0,0,0,0,0,0,5
porets,landowner; lord origin: porets(Ч¤ЦјЧЁЧ™ЧҐ) geder(Ч’Ч“ЧЁ),0,0,5,0,0,0,0,0,0,0,0,0,0,5
pukh,feather down; fluff,0,4,0,0,0,0,0,1,0,0,0,0,0,5
revolutsyoner,revolutionary (person),0,5,0,0,0,0,0,0,0,0,0,0,0,5
shadkhn,matchmaker,0,0,5,0,0,0,0,0,0,0,0,0,0,5
tyokh,thump (sound of a beating heart),0,5,0,0,0,0,0,0,0,0,0,0,0,5
ziger,adjectival form with -ish,5,0,0,0,0,0,0,0,0,0,0,0,0,5
tyokh,thump (sound of a beating heart),0,5,0,0,0,0,0,0,0,0,0,0,0,5
ziger,adjectival form with -ish,5,0,0,0,0,0,0,0,0,0,0,0,0,5
arbeter,worker,4,0,0,0,0,0,0,0,0,0,0,0,0,4
biblyograf,bibliographer,4,0,0,0,0,0,0,0,0,0,0,0,0,4
birger,adjectival form with -lekh,4,0,0,0,0,0,0,0,0,0,0,0,0,4
daytsh,Old German,0,4,0,0,0,0,0,0,0,0,0,0,0,4
demb,adjectival form with -ov,0,0,0,0,0,0,0,4,0,0,0,0,0,4
badiner,servant; attendant,4,0,0,0,0,0,0,0,0,0,0,0,0,4
feminist,feminist,0,4,0,0,0,0,0,0,0,0,0,0,0,4
gabe,charity overseer (Jewish religious functionary),0,0,4,0,0,0,0,0,0,0,0,0,0,4
ayngeyer,attendee; guest,4,0,0,0,0,0,0,0,0,0,0,0,0,4
goy,Christian man; nation,0,0,2,0,0,0,0,0,0,2,0,0,0,4
mitgrinder,co-founder,4,0,0,0,0,0,0,0,0,0,0,0,0,4
her,Mister; gentleman source: Harduf,1,0,1,0,0,0,0,1,0,1,0,0,0,4
her,mastery,1,0,1,0,0,0,0,1,0,1,0,0,0,4
kelner,waiter,2,2,0,0,0,0,0,0,0,0,0,0,0,4
koleg,has diminutive,4,0,0,0,0,0,0,0,0,0,0,0,0,4
kremer,storekeeper,1,3,0,0,0,0,0,0,0,0,0,0,0,4
meys,dead person,0,0,4,0,0,0,0,0,0,0,0,0,0,4
model,,0,4,0,0,0,0,0,0,0,0,0,0,0,4
noyef,adulterer; lecher,0,0,4,0,0,0,0,0,0,0,0,0,0,4
oks,diminutive with root eks,1,0,0,0,0,0,0,3,0,0,0,0,0,4
organizator,,4,0,0,0,0,0,0,0,0,0,0,0,0,4
oyfpaser,protector,1,3,0,0,0,0,0,0,0,0,0,0,0,4
pe,the letter P,0,0,1,0,0,0,0,0,0,3,0,0,0,4
pedagog,pedagogic,4,0,0,0,0,0,0,0,0,0,0,0,0,4
parshoyn,person,0,0,4,0,0,0,0,0,0,0,0,0,0,4
shakh,Shah,0,0,4,0,0,0,0,0,0,0,0,0,0,4
sheps,adjectival form with -en,0,0,0,0,0,0,0,4,0,0,0,0,0,4
shlyakh,path,0,0,4,0,0,0,0,0,0,0,0,0,0,4
shakh,game of chess doubtful admissibility,0,0,4,0,0,0,0,0,0,0,0,0,0,4
