word,meaning,in,ke,te,inte,nice,itse,ine,ene,cn,she,ixe,esis,ese,tshke,summ
komentator,commentator; popularizer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
koordinirer,coordinator,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
koyfer,buyer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
kuzin,cousin,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
farleger,publisher,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
man,"male, husband",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
martirer,martyr,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
mashinist,machinist,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
minister,minister,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
muzikolog,musicologist,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
parashutist,parachutist,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
pefer,lazybones,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
psikholog,psychologist,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
publitsist,publicist,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
redner,speaker,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
reprezentant,representative,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
retsenzent,reviewer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
sarver,waiter,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
shafer,creator,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
shames,"beadle, sexton, synagogue caretaker ",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
shenker,innkeeper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
opshprekher,curse remover,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
shvayger,silent person,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
soykher,merchant,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
skulptor,sculptor,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
sportler,sportsman,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
star,star (theatrical),0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
oystaytsher,interpreter,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
dertseyler,storyteller,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
tsushoyer,audience doubtful admissibility,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
bazitser,owner,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
bazukher,visitor,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
tsiyenist,Zionist,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
balegole,wagoneer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
akordyonist,accordionist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
analfabet,illiterate person; ignoramus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
psikhoanalitiker,psychoanalyst,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
analitiker,analyst,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
anarkhist,anarchist,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
apteyker,pharmacist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aristokrat,aristocrat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
beker,baker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bandit,bandit,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
baron,baron,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
bruder,brother,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
buk,beech (tree),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
byolog,byologist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
av,head Rabbi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ekspert,expert; authority,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
elf,elf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
entuzyast,enthusiast,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
felsher,forger,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
filosof,philosopher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
unterfirer,groomsman; slanderer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
oysforsher,researcher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fotograf,photographer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
freger,questioner; inquisitive person,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
general,general,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
geyer,traveler,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
forgeyer,advance guard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
